msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,drop_reason
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Sotero,sotero,tto_spinout,startup,digital_health,,,,,,"Sotero enables organizations to access and analyze data that is sensitive, but data that drives business analytics and supports business operations. Sotero’s technology guarantees sensitive data stays secure throughout its lifecycle, regardless of what platform, application, or operational platform it resides in.",engage_ventures,,,,,,,,"Boston, MA",http://soterosoft.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Stratifyd,stratifyd,tto_spinout,startup,digital_health,,,,,,Stratifyd provides an AI-powered analytics platform that captures all customer interactions and turns them into actionable business intelligence.,engage_ventures,,,,,,,,"Charlotte, NC",https://www.stratifyd.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Sudu,sudu,tto_spinout,startup,unknown,,,,,,Sudu is an on-demand and scheduled trucking service that connects companies that ship freight with a network of trucks and diverse carriers.,engage_ventures,,,,,,,,"Charlotte, NC",https://engage.vc/portfolio/sudu/,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Terzo Logo Horizontal Light,terzo logo horizontal light,tto_spinout,startup,digital_health,,,,,,Terzo's Vendor Relationship Management (VRM) software allows enterprises to turn vendors into strategic partners.,engage_ventures,,,,,,,,"Los Angeles, CA",https://www.terzocloud.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,The Mom Project New,mom project new,tto_spinout,startup,unknown,,,,,,The Mom Project is a marketplace and community that connects enterprises with diverse female talent.,engage_ventures,,,,,,,,"Chicago, IL",https://themomproject.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Therma,therma,tto_spinout,startup,medtech,,,,,,"Therma is the clean cooling company. Using AI and IOT-enabled temperature, humidity, and equipment performance monitoring and control systems, Therma can lower energy usage as well as prevent asset downtime and product loss in commercial and industrial refrigeration (cold supply chains).",engage_ventures,,,,,,,,"San Francisco, CA",http://hellotherma.com#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Tribute,tribute,tto_spinout,startup,digital_health,,,,,,"Tribute is a one-of-a kind micro-mentorship platform that enhances team collaboration, learning, and productivity in the hybrid workplace.",engage_ventures,,,,,,,,"Seattle, WA",https://engage.vc/portfolio/tribute/,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Veckta White,veckta white,tto_spinout,startup,digital_health,,,,,,"VECKTA is the trusted Energy Transition Platform for Commercial and Industrial businesses globally. Business leaders use the platform to plan and procure onsite energy systems to lower energy costs, improve reliability and reduce carbon emissions with confidence.",engage_ventures,,,,,,,,"San Diego, California",https://www.veckta.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Workstep,workstep,tto_spinout,startup,digital_health,,,,,,"Workstep’s proprietary platform helps manufacturing, logistics, and retail companies hire and retain their hourly workforce through a network of industrial-focused talent and matches enterprises with the types of employees they need.",engage_ventures,,,,,,,,"San Francisco, CA",https://www.workstep.com/#new_tab,Step3_geo: tto_location outside assigned MSA
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Workstream Logo New,workstream logo new,tto_spinout,startup,diagnostics,,,,,,"Workstream is an automated hiring platform and mobile app that streamlines the sourcing, screening, and onboarding of hourly workers.",engage_ventures,,,,,,,,"San Francisco, CA",https://www.workstream.us/#new_tab,Step3_geo: tto_location outside assigned MSA
