name,msa,source,tagline,location,url
Call Simulator,atlanta,engage_ventures,"Call Simulator is a voice/AI simulation platform to replace role-playing for call center agent training. Fully integrated with call center software, Call Simulator uses streaming-speech-to-speech technology to provide an immersive training experience for agents.","Tallahassee, FL",https://callsimulator.com/#new_tab
Canvs White,atlanta,engage_ventures,"Canvs is an AI insights platform for transforming open-ended consumer feedback into actionable consumer and market intelligence using advanced, AI text analysis.","Los Angeles, California",https://canvs.ai/#new_tab
Cerby Large Dark 10 1,atlanta,engage_ventures,"Cerby automates and centralizes identity security for every application—SaaS, legacy, or homegrown—eliminating cyber security vulnerabilities by streamlining credential management without the cost or overhead.","Alameda, CA",https://www.cerby.com/#new_tab
Chain Io Logo Whitetransparent Background,atlanta,engage_ventures,"Chain.io’s integration platform enables companies to provide end-to-end supply chain connectivity between brands, suppliers, logistics service providers and improves collaboration and predictability by taking care of the data plumbing.","Philadelphia, PA",https://chain.io/#new_tab
Cirt,atlanta,engage_ventures,CIRT is the pitchbook for sustainable materials sourcing and recovery throughout the packaging value chain to end-of-life.,"Athens, GA",http://cirt.tech#new_tab
Cloud Range,atlanta,engage_ventures,"Cloud Range provides sophisticated simulation for cybersecurity teams, measurably reducing cyber risk by preparing cyber defense teams to detect and eradicate cyber threats, eliminating or minimizing the financial damage of a breach.","Nashville, TN",http://cloudrangecyber.com#new_tab
Cloverly,atlanta,engage_ventures,Cloverly is a Sustainability-as-a-Service platform for businesses to allow customers to offset their carbon emissions.,"Atlanta, GA",https://www.cloverly.com/#new_tab
Clutch,atlanta,engage_ventures,"Clutch is the only online destination for searching, experiencing, financing, and buying used cars, delivered to your door.",Canada,https://www.clutch.ca/#new_tab
Coactive,atlanta,engage_ventures,"Coactive is a B2B SaaS platform that unlocks the value of photo, video content and dialogue for use cases in search, tagging and analytics.","San Jose, CA",https://coactive.ai
Coginiti,atlanta,engage_ventures,Coginiti accelerates time to insights for the enterprise analytics community by letting them explore data where it resides and share best practices while collaborating on key business questions.,"Atlanta, GA",https://www.coginiti.co/#new_tab
Black Corestory 1,atlanta,engage_ventures,CoreStory is an AI-driven code intelligence platform that transforms legacy systems.,"San Francisco, CA",https://corestory.ai/#new_tab
Coros White,atlanta,engage_ventures,Coros is a computer vision based hardware solution that optimizes the movement of goods across the entire logistics chain with real-time visibility and actionable insights.,"Mountain View, CA",https://www.coros.net/#new_tab
Cresta White@300X E,atlanta,engage_ventures,Cresta develops an artificial intelligence platform for call centers.,"San Francisco, CA",https://cresta.com/#new_tab
Cyrano,atlanta,engage_ventures,Cyrano is a leadership communications platform using video to better connect and engage employees.,"Atlanta, GA",http://www.cyranosystems.com/#new_tab
Danti,atlanta,engage_ventures,Danti is a natural language search engine for exploring the extensive collections of Earth observation data.,"Atlanta, GA",https://danti.ai/#new_tab
Full Light,atlanta,engage_ventures,"Datalogz automates BI management in tools like Power BI, Tableau, and Qlik by eliminating sprawl, enhancing security, and optimizing costs—transforming bloated analytics environments into streamlined, high-value insights engines.","New York City, NY",https://www.datalogz.io/#new_tab
Deep North,atlanta,engage_ventures,"Deep North is a deep learning and AI video analytics platform for consumer engagement, behavior, and demographics in physical environments.","Foster City, CA",https://www.deepnorth.com/#new_tab
Dexa Logo Wordmark 2,atlanta,engage_ventures,DEXA combines FAA-certified drone technology with local retail partnerships to redefine last-mile delivery.,"Cincinnati, OH",https://droneexpress.com/#new_tab
Dg Matrix,atlanta,engage_ventures,DG Matrix offers a hardware replacement for the components that traditionally connect your building to the grid. Their Power Router is 5-10x smaller than traditional solutions and can reduce electricity bills up to 70%.,"Raleigh, NC",https://www.dgmatrix.com/#new_tab
Ditto Full Logotype White 2,atlanta,engage_ventures,"Ditto is an offline-first, mobile database that removes all the plumbing required for businesses to build resilient applications that thrive at the edge, even without connectivity.","Atlanta, GA",https://www.ditto.com/#new_tab
Employus,atlanta,engage_ventures,EmployUs is a platform that helps companies hire more referrals by automating the employee referral process.,"Raleigh, NC",http://www.employus.com/#new_tab
Engage White@300X E,atlanta,engage_ventures,"Engage Talent is an AI software helping to identify, evaluate, and engage with passive candidates while leveraging data to retain key talent.","Atlanta, GA",https://www.engagetalent.com/#new_tab
Ethos,atlanta,engage_ventures,"Ethos is a mobile-first microlearning platform that enables any coach, educator, or instructor to teach faster and more effectively, transforming current training material into an interactive learning experience backed by cognitive science research.","Redwood City, CA",https://www.ethossystems.com/#new_tab
Evolv Logo White 2000Px,atlanta,engage_ventures,Evolv AI help enterprises find better ways to connect with their customers by studying and optimizing live customer experiences to provide bespoke customer experience across many channels.,"San Francisco, CA",https://evolv.ai/#new_tab
Fastradius,atlanta,engage_ventures,Fast Radius is an on-demand additive manufacturing and production platform for enterprise.,"Chicago, IL",https://www.fastradius.com/#new_tab
Artboard 1,atlanta,engage_ventures,"FeatureBase (formerly Molecula) closes the gap between data and decision, enabling companies to unlock the power of real-time analytics and AI. Molecula’s FeatureBase powers analytics and machine learning applications, making data immediately accessible, actionable, and reusable.","Austin, TX",https://www.featurebase.com/#new_tab
Filtered White@300X E,atlanta,engage_ventures,"Filtered is a platform that helps companies accelerate technical talent hiring through objective, performance-based coding interviews.","Boston, MA",https://www.filtered.ai/#new_tab
Fluree,atlanta,engage_ventures,"Fluree is a data management platform that, using graph database and blockchain technology, lets data protect itself and improves portability.","Winston-Salem, NC",https://flur.ee/#new_tab
Freightwaves,atlanta,engage_ventures,Freightwaves is a financial instruments and market data platform for the trucking and logistics industry.,"Chattanooga, TN",https://www.freightwaves.com/#new_tab
Glass,atlanta,engage_ventures,"Glass offers the sweet spot between the total flexibility of a DIY survey platform and the professional expertise found in traditional research agencies. Leveraging Glass means you can survey your target audience with speed, while also taking advantage of strategic partnership from a team of expert researchers.","Atlanta, GA",https://www.useglass.com/#new_tab
Greenprint,atlanta,engage_ventures,GreenPrint is a sustainability as a service company focused on offsetting CO2 emissions and creating a net-positive impact on the environment.,"Atlanta, GA",http://www.greenprintcorp.com/#new_tab
Help Lightning,atlanta,engage_ventures,Help Lightning helps service organizations reduce costs and increase productivity through remote video collaboration by using augmented reality video to create a virtual interactive presence.,"Birmingham, AL",https://helplightning.com/#new_tab
Herowear Primarylogo White,atlanta,engage_ventures,HeroWear designs and manufactures exosuits to take the load off the backs of hardworking people.,"Nashville, TN",http://www.herowearexo.com#new_tab
Homee,atlanta,engage_ventures,"Homee is an on-demand, home servicing app that provides instant access to handymen, electrical, HVAC, and plumbing providers.","Tampa, FL",http://www.homeeondemand.com/#new_tab
Human White,atlanta,engage_ventures,"Humantelligence revolutionizes communication and collaboration for distributed knowledge workers by leveraging Gen AI and personality tests to enhance interpersonal connections, team dynamics, and leadership, by providing tailored collaboration tips to optimize engagement, team performance, and meeting effectiveness for large, distributed workforces.","Miami, FL",https://humantelligence.com/#new_tab
Icon,atlanta,engage_ventures,"ICON develops technology and hardware to build customizable, low cost, sustainable 3D printed homes on-demand.","Austin, TX",https://www.iconbuild.com/#new_tab
Inclusively Logo White New,atlanta,engage_ventures,Inclusively is a professional network connecting candidates with disabilities to employers who are cultivating diverse and inclusive workplaces.,"St. Louis, MO",https://inclusively.com/#new_tab
Instant,atlanta,engage_ventures,Instant is an instant pay platform that gives employees control over their pay immediately.,"Atlanta, GA",https://www.instant.co/#new_tab
Intrinio,atlanta,engage_ventures,"Intrinio is a fintech marketplace with access to more than 200 financial data feeds that cover 350,000 global securities.","St. Petersburg, FL",https://intrinio.com/#new_tab
Itential Logo Darkbackground R,atlanta,engage_ventures,"Itential is an automation & bot platform built to support both network and cloud, making it easy for enterprise organizations to maintain network compliance, reduce manual operations, and simplify network management.","Atlanta, GA",http://itential.com/#new_tab
Ivaldi,atlanta,engage_ventures,Ivaldi is a parts-replacement-as-a-service company delivering digitized inventory and on-site production solutions.,"San Leandro, CA",https://ivaldi.com#new_tab
Kanary,atlanta,engage_ventures,"Kanarys is a platform that gathers and analyzes cultural & demographic data, enabling individuals to speak up and organizations to build more inclusive work cultures.","Dallas, TX",https://www.kanarys.com/#new_tab
Kim Technologies,atlanta,engage_ventures,"Kim is a no-code, patent protected, Automation-as-a-Service platform that turns a company’s existing documents (letters, forms, checklists, compliance records, contracts ) into Standard Operating Procedures, driving Straight Through Processing.","Atlanta, GA",http://ask.kim#new_tab
Artboard 1 2,atlanta,engage_ventures,Ledgible (formerly Verady) combines blockchain and industry thought leadership to bring accounting and audit technology to cryptocurrencies.,"Atlanta, GA",https://ledgible.io/#new_tab
Loliware,atlanta,engage_ventures,"Loliware believes products should be Designed to Disappear. The company has a proprietary technology that transforms seaweed into a “disappearing” food-safe, replacement for plastic. Straws and utensils decompose in consumer composting and garbage at the same rate as banana peels. Their technology is tasteless and lasts far longer than paper alternatives.","New York, NY",http://loliware.com#new_tab
Macondo White,atlanta,engage_ventures,"Macondo Vision provides a SaaS platform using computer vision to boost supply chain performance by turning the promise of AI into operational reality: safer workplaces, precision accuracy, and unmatched productivity.","Atlanta, Georgia",https://www.macondovision.com/#new_tab
Manifest Climate,atlanta,engage_ventures,"Manifest Climate's intuitive climate risk planning solution helps corporations understand, manage and disclose their climate-related risks and opportunities and advance their climate-related financial reporting.","Toronto, Canada",https://manifestclimate.com/#new_tab
Mavvrik Logo Wht Gdnt 1 1,atlanta,engage_ventures,"Mavvrik is the financial control center for modern IT, providing enterprises with complete visibility, automation, and governance across cloud, AI, SaaS, and on-prem infrastructure.","Austin, TX",https://www.mavvrik.ai/#new_tab
Metaimpact Logo White 1,atlanta,engage_ventures,Metaimpact empowers organizations with the digital infrastructure needed to enable systems change.,"Indianapolis, IN",https://metaimpact.com/#new_tab
Mirage Data,atlanta,engage_ventures,Mirage Data is a platform for enterprise and personal email security.,"Atlanta, GA",https://www.miragedata.com/#new_tab
Misapplied White,atlanta,engage_ventures,"Misapplied Sciences created Parallel RealityTM displays, a new technology that allows 100+ viewers to each see different, individually curated content on a single digital display, revolutionizing out-of-home experiences and personalized content delivery at scale.","Pasadena, California",https://www.misappliedsciences.com/#new_tab
Modelop Logo White E,atlanta,engage_ventures,"ModelOp is the leading AI Governance software that helps enterprises safeguard all AI initiatives — including generative AI, Large Language Models (LLMs), in-house, third-party vendor, and embedded systems — without stifling innovation.","Chicago, IL",http://modelop.com#new_tab
Twitter Cover,atlanta,engage_ventures,Moth + Flame is the developer of virtual training technology intended to define the next generation of visual communication.,"Brooklyn, NY",https://www.mothandflamevr.com/#new_tab
Namecoach,atlanta,engage_ventures,"NameCoach is an AI-enabled software that solves a single problem: name mispronunciation in important life settings such as, meetings with customers or colleagues.","Palo Alto, CA",https://cloud.name-coach.com/#new_tab
Narratize,atlanta,engage_ventures,Narratize is an LLM-agnostic product intelligence platform empowering R&D and product development teams to automate documentation and launch 4X faster.,"Covington, KY",https://www.narratize.com/#new_tab
Horizontal Main Logo White,atlanta,engage_ventures,Native Voice is working with brands to construct the largest collection of voice services and provide a seamless voice connection to these services on any audio device.,"Denver, CO",https://www.nativevoice.ai/#new_tab
Nichefirelogo White,atlanta,engage_ventures,Nichefire is a Predictive Cultural Intelligence platform that makes it easy to uncover emerging consumer trends and capitalize on opportunities that drive growth.,"Cincinnati, OH",https://nichefire.com/#new_tab
Nlx White,atlanta,engage_ventures,"NLX offers an enterprise conversational AI platform. We incorporate the latest innovations in conversational and generative AI to power automated customer experiences over chat, voice, and our patented multimodal conversations.","New York, New York",https://nlx.ai/#new_tab
Nubix,atlanta,engage_ventures,Nubix is a container platform that makes it easy to develop and deploy Internet of Things and edge applications.,"San Francisco, CA",https://www.nubix.io/#new_tab
Nugen,atlanta,engage_ventures,NuGen Systems develops and supplies high power lithium-ion batteries for indoor mobile material handling vehicles as a replacement for lead-acid batteries.,"Atlanta, GA",http://www.nugensystems.net/#new_tab
Onwards White,atlanta,engage_ventures,"Onwards HR is a workforce compliance platform that handles offboarding complexity to ensure consistent, compliant, and compassionate employee exits.","Atlanta, GA",https://www.onwardshr.com/#new_tab
Opt Primary,atlanta,engage_ventures,"Optera is a carbon management software and services company that enables large enterprises to calculate, manage, and reduce emissions with actionable data across their full value chain.","Boulder, Colorado",https://opteraclimate.com/#new_tab
Othrsource Logo White Small 1,atlanta,engage_ventures,"OTHRSource is a gig worker platform that helps emerging retail brands scale with a national network of brand helpers who provide In-store support services like price checking, restocking, audit, and more.","Atlanta, GA",https://www.othrsource.com/#new_tab
Otto,atlanta,engage_ventures,Otto is a cybersecurity platform that deploys a browser firewall that protects enterprise sites and customers from attacks originating from Third-Party JavaScript.,"Memphis, TN",https://www.otto-js.com/#new_tab
Paccurate White,atlanta,engage_ventures,"Paccurate's platform helps shippers identify their perfect mix of carton sizes and gives them complete control over how they're packed in real time, which lowers costs, reduces waste, and creates a better customer experience.","New York, New York",https://paccurate.io/#new_tab
Paladin Logo White New,atlanta,engage_ventures,"Paladin creates an easy way for lawyers to find and take on cases they are passionate about, as well as manage their pro-bono rosters.","New York, NY",https://www.joinpaladin.com/#new_tab
Peerfit,atlanta,engage_ventures,Peerfit is a market leader in connecting employers and carriers with personalized fitness experiences.,"Gainesville, FL",https://peerfit.com/#new_tab
Pickup,atlanta,engage_ventures,PICKUP provides instant delivery for retail items greater than 50lbs going less than 50 miles with white glove service by a team of local “Good Guys.”,"Dallas, TX",https://pickupnow.com/#new_tab
Pitstop,atlanta,engage_ventures,"Pitstop's analytics provide actionable insights (predictive analytics) for fleets and OEMs to understand, anticipate and resolve issues with vehicles.","Toronto, Canada",http://pitstopconnect.com#new_tab
Player Zero,atlanta,engage_ventures,PlayerZero is the AI that learns from the history of your customers and your code to predict bugs before they happen — and then automates debugging when issues arise. It operationalizes product quality for engineering and support.,"Atlanta, GA",https://www.playerzero.ai
Plural Logo White Aka Civiceagle,atlanta,engage_ventures,"Plural creates cutting-edge software to make it easy for public policy data to be discoverable, interpretable, collaborative, and machine-readable.","Minneapolis, MN",https://www.civiceagle.com/#new_tab
Pryon,atlanta,engage_ventures,Pryon is an enterprise AI platform capable of ingesting and understanding structured and unstructured data that can be queried by employees.,"Raleigh, NC",https://pryoninc.com/#new_tab
Qualytics Wordmark Black 1 1,atlanta,engage_ventures,"Qualytics is the enterprise standard for augmented data quality, giving you proactive, automated control of the data powering analytics, operations, and AI.","Orlando, FL",https://qualytics.co/#new_tab
Quasar Db Logo White,atlanta,engage_ventures,"Quasar is an ultra-high-performance, cost-effective solution for time-series data challenges in financial and manufacturing applications. Their solution combines large-scale storage, instant querying, and is designed to pick up the slack where most data warehousing fails.","New York, NY",https://quasardb.net/#new_tab
Query White,atlanta,engage_ventures,"Security data is everywhere. Query gives security teams a single search window, providing visibility into data no matter where it resides, delivering 10X efficiency gain across security investigations. Query gives CISO’s and security architects choice and control over where data is stored and how it is managed, providing storage cost reductions up to 90%.","Atlanta, Georgia",https://www.query.ai/#new_tab
Resilia,atlanta,engage_ventures,Resilia designs software to increase capacity for non-profits and enable large foundations to create and measure impact at scale.,"New Orleans, LA",https://www.resilia.com/#new_tab
Sapient,atlanta,engage_ventures,"Sapient is an energy management system that deploys smart outlets, enhanced by machine learning, to optimize energy consumption at the plug level.","Philadelphia, PA",https://www.sapient.industries/#new_tab
Shine At Work,atlanta,engage_ventures,"The Shine at Work program offers a timely solution to employee retention with a program that’s customizable, data-driven, and targeted at an employer’s most at-risk employees.","Atlanta, GA & New York, NY",https://www.theshineapp.com/shine-at-work#new_tab
Skycool Logo White E,atlanta,engage_ventures,Skycool Systems is commercializing a breakthrough in passive rooftop cooling that reduces energy use and emissions by 15%-40%.,"Mountain View, CA",http://skycoolsystems.com/#new_tab
Skyryse,atlanta,engage_ventures,SkyRyse is a tech-enabled air mobility platform bringing vertical take-off and landing (VTOL) flight to everyday life.,"Hayward, CA",https://skyryse.com/#new_tab
Slip Robotics 1,atlanta,engage_ventures,Slip Robotics is a stealth mode startup using robotic solutions to improve operating efficiency in warehousing and logistics.,"Atlanta, GA",http://sliprobotics.com#new_tab
Sotero,atlanta,engage_ventures,"Sotero enables organizations to access and analyze data that is sensitive, but data that drives business analytics and supports business operations. Sotero’s technology guarantees sensitive data stays secure throughout its lifecycle, regardless of what platform, application, or operational platform it resides in.","Boston, MA",http://soterosoft.com#new_tab
Soundingboard,atlanta,engage_ventures,Sounding Board provides a data-driven leadership development platform for corporate leaders at different stages of their career growth.,"Aliso Viejo, California",https://www.soundingboardinc.com/#new_tab
Stord,atlanta,engage_ventures,"STORD is a real-time global warehousing network that connects independent, third-party warehouses via an enterprise software platform to drive inventory efficiency.","Atlanta, GA",https://www.stord.co/#new_tab
Stratifyd,atlanta,engage_ventures,Stratifyd provides an AI-powered analytics platform that captures all customer interactions and turns them into actionable business intelligence.,"Charlotte, NC",https://www.stratifyd.com/#new_tab
Sudu,atlanta,engage_ventures,Sudu is an on-demand and scheduled trucking service that connects companies that ship freight with a network of trucks and diverse carriers.,"Charlotte, NC",https://engage.vc/portfolio/sudu/
Tcpoly,atlanta,engage_ventures,"TC Poly creates advanced thermally conductive plastics to enable cost-effective, high-volume additive manufacturing of functional parts.","Atlanta, GA",https://tcpoly.com/#new_tab
Terzo Logo Horizontal Light,atlanta,engage_ventures,Terzo's Vendor Relationship Management (VRM) software allows enterprises to turn vendors into strategic partners.,"Los Angeles, CA",https://www.terzocloud.com/#new_tab
The Mom Project New,atlanta,engage_ventures,The Mom Project is a marketplace and community that connects enterprises with diverse female talent.,"Chicago, IL",https://themomproject.com/#new_tab
Therma,atlanta,engage_ventures,"Therma is the clean cooling company. Using AI and IOT-enabled temperature, humidity, and equipment performance monitoring and control systems, Therma can lower energy usage as well as prevent asset downtime and product loss in commercial and industrial refrigeration (cold supply chains).","San Francisco, CA",http://hellotherma.com#new_tab
Thingtech,atlanta,engage_ventures,"ThingTech is an IoT service platform that connects assets, fleets, heavy equipment, sensors, machines and mobile workforces in real-time.","Atlanta, GA",http://www.thingtech.com/#new_tab
Tribute,atlanta,engage_ventures,"Tribute is a one-of-a kind micro-mentorship platform that enhances team collaboration, learning, and productivity in the hybrid workplace.","Seattle, WA",https://engage.vc/portfolio/tribute/
Veckta White,atlanta,engage_ventures,"VECKTA is the trusted Energy Transition Platform for Commercial and Industrial businesses globally. Business leaders use the platform to plan and procure onsite energy systems to lower energy costs, improve reliability and reduce carbon emissions with confidence.","San Diego, California",https://www.veckta.com/#new_tab
Verusen,atlanta,engage_ventures,Verusen develops an AI platform to harmonize materials data and predict inventory in manufacturing supply chains.,"Atlanta, GA",https://verusen.com/#new_tab
Virsec,atlanta,engage_ventures,Virsec is a cybersecurity platform for the memory layer of business applications – the most unprotected space in cybersecurity.,"San Jose, CA",https://virsec.com/#new_tab
Vocalytics Light 1,atlanta,engage_ventures,"Vocalytics listens to ambient noise, analyzes events & trends, and sends real-time alerts when you need them most.","Costa Mesa, CA",http://vocalytics.ai#new_tab
Voxie,atlanta,engage_ventures,"Voxie is a platform to connect with customers via text message, build real relationships, and turn those relationships into action.","Atlanta, GA",https://www.voxie.com/#new_tab
Vyv White Logo1,atlanta,engage_ventures,"Vyv is a safe, bacteria-killing advanced LED white light technology that continuously kills and protects against germs.","Latham, NY",https://vyv.tech#new_tab
Wi Charge,atlanta,engage_ventures,Wi-Charge is a wireless power startup that transmits power to charge electronic devices over-the-air.,Israel,https://wi-charge.com/#new_tab
Workera,atlanta,engage_ventures,"Workera’s Skills Intelligence Platform empowers organizations with actionable skills data that drives innovation across talent strategies in hiring, upskilling, mobility, and mentorship.","Palo Alto, CA",https://workera.ai/#new_tab
Workstep,atlanta,engage_ventures,"Workstep’s proprietary platform helps manufacturing, logistics, and retail companies hire and retain their hourly workforce through a network of industrial-focused talent and matches enterprises with the types of employees they need.","San Francisco, CA",https://www.workstep.com/#new_tab
Workstream Logo New,atlanta,engage_ventures,"Workstream is an automated hiring platform and mobile app that streamlines the sourcing, screening, and onboarding of hourly workers.","San Francisco, CA",https://www.workstream.us/#new_tab
Wripple,atlanta,engage_ventures,"Wripple is a talent marketplace and freelance management platform for digital marketing and eCommerce talent, matching enterprise brands to top-quality, individual freelancers and ready-made project teams.","Atlanta, GA",https://www.wripple.com/#new_tab
2Ulaundry White@300X E,atlanta,engage_ventures,"2U Laundry is a tech-enabled, premium wash and fold laundry and dry cleaning with pickup and one-day turnaround.","Charlotte, NC",https://www.2ulaundry.com/#new_tab
4moms (now part of UPPAbaby),pittsburgh,innovation_works,"4moms (Thorley Industries) introduced robotics technology to the juvenile industry with it’s innovative 4moms products designed to meet parents’ real needs. Products include: The mamaRoo® infant seat designed to move the way parents do; The origami® stroller, the world’s first power-folding stroller; The breeze™ playard that opens or closes in one easy step, and The cleanwater collection™ infant tub and faucet cover with built-in digital thermometers.","Pittsburgh, PA",
Accel Diagnostics,pittsburgh,innovation_works,"AccelDx is a medical device company developing pScreen™, a disruptive blood testing platform for the diagnosis and management of medical conditions in the Home/Point-of-Care setting. AccelDx’s solution enables physicians/patients to manage diseases in a timely and effective manner, thereby reducing cost and hospitalizations. AccelDx is currently focusing on pScreen-BNP™ for the in home daily monitoring of heart condition to prevent heart failure (HF) related re-hospitalizations: an untapped market opportunity of $1.9B.","Pittsburgh, PA",
"Accipiter Systems, Inc.",pittsburgh,innovation_works,"Accipiter Systems, Inc. is a leading developer of innovative data networking solutions. We offer data networking products that deliver higher value to the customer through the use of disruptive technologies. Accipiter Systems is providing differentiating data networking expertise to government agencies, DoD contractors and commercial companies.","Pittsburgh, PA",
ActivAided Orthotics (acquired by Elizur),pittsburgh,innovation_works,"ActivAided Orthotics has developed a line of Postural Training Apparel to eliminate back pain by training self-corrective habits. By using the body’s own natural abilities, this wearable device addresses the root cause of back pain by teaching patients how to correct the harmful behaviors in their everyday activities. ActivAided’s first product RecoveryAid was found to decrease back pain in 90% of users, helping them return to their desired active lifestyles","Pittsburgh, PA",
Admirra,pittsburgh,innovation_works,"Admirra provides a HIPAA-compliant CRM platform designed for healthcare and regulated industries. The platform enables secure management of communications, engagement, and relationship data while maintaining strict compliance requirements. Admirra helps organizations modernize operations without compromising data privacy or security.","Pittsburgh, PA",
Adrich,pittsburgh,innovation_works,"Adrich is an AI meets IOT consumer insight company that specializes in the design and deployment of the world’s first “patented” Smart Consumer Platform, unveiling true qualitative and quantitative consumer usage data. Our end-to-end solution is powered by proprietary machine learning algorithms, coupled with real-time analytics that are captured through our smart product usage trackers. The output is  an incomparable perspective into True Consumer Usage Behaviors. With Adrich, brands can now better understand how consumers interact with their product through real-time usage data such as time of day of use, day of week of use, and when consumers run out of product therefore providing a means to increased consumer satisfaction, sales and marketing optimization, and predictive consumer insights for continued brand growth.Adrich is headquartered in Pittsburgh, PA and backed by Sony Innovation Lab, Plug & Play Ventures and Idea Fund Partners. Currently, Adrich has seven Fortune 500 Consumer Packaged Goods companies on their Smart Consumer Platform.","Pittsburgh, PA",
AdSkate,pittsburgh,innovation_works,"AdSkate transformsdigital advertising by applying artificial intelligence (AI) to determine the relevance of content for a brand or campaign, eliminating unrelated or damaging ad delivery.","Pittsburgh, PA",
Advanced Optronics,pittsburgh,innovation_works,"Advanced Optronics is a smart sensor company developing a guidance system for implantable medical devices, starting with cochlear implants. AO’s first product provides real-time feedback during surgery to reduce trauma, avoid damage to residual hearing, and provide improved hearing outcomes, allowing patients to reconnect to the hearing world.","Pittsburgh, PA",
"Aethon, Inc. (acquired by ST Engineering)",pittsburgh,innovation_works,"Aethon is the leader in the business of low-cost, pilot-less hauling of materials indoors. We substitute a pilot-less Tug® for a person. Our competitive advantage is our patented indoor positioning system, with a manufacturing cost a fraction of our competitors, which navigates with ±3″ accuracy and allows us to automate indoor transport at one-fourth the cost of a person pushing a cart.","Pittsburgh, PA",
Agentase LLC (an ICx Company acquired by FLIR Systems),pittsburgh,innovation_works,"Agentase, LLC (an ICx company) is a technology company founded in December 1998 by Dr. Keith LeJeune and Dr. Alan Russell, two of the nation’s leading experts on enzyme-polymer hybrid materials. The company possesses proprietary and patented technology in the synthesis and potential applications of enzyme containing polymers.ICx Technologies agrees to be acquired by FLIR Systems 8/16/10","Pittsburgh, PA",
Acquired,baltimore,umd_momentum,,Maryland,
Acquired,baltimore,umd_momentum,,Maryland,
Acquired,baltimore,umd_momentum,,Maryland,
Acquired,baltimore,umd_momentum,,Maryland,
Health Wildcatters,dallas,health_wildcatters,,"Dallas, TX",
Spark Therapeutics,philadelphia,penn_known,,,
Tmunity Therapeutics,philadelphia,penn_known,,,
Carisma Therapeutics,philadelphia,penn_known,,,
Cabaletta Bio,philadelphia,penn_known,,,
Passage Bio,philadelphia,penn_known,,,
Ocugen,philadelphia,penn_known,,,
Vivodyne,philadelphia,penn_known,,,
Linnaeus Therapeutics,philadelphia,penn_known,,,
Limelight Bio,philadelphia,penn_known,,,
Capstan Therapeutics,philadelphia,penn_known,,,
Interius BioTherapeutics,philadelphia,penn_known,,,
Ring Therapeutics,philadelphia,penn_known,,,
GRIT Bio,philadelphia,penn_known,,,
Lyell Immunopharma,philadelphia,penn_known,,,
Verismo Therapeutics,philadelphia,penn_known,,,
Aro Biotherapeutics,philadelphia,penn_known,,,
Context Therapeutics,philadelphia,penn_known,,,
INOVIO Pharmaceuticals,philadelphia,penn_known,,,
Tyme Technologies,philadelphia,penn_known,,,
Iveric Bio,philadelphia,penn_known,,,
Personal Genome Diagnostics,baltimore,jhu_known,,,
Thrive Earlier Detection,baltimore,jhu_known,,,
Sonavex,baltimore,jhu_known,,,
Galen Robotics,baltimore,jhu_known,,,
